,vessel_type,vessel_group,#subtracks,mean_length,median_length,start_time,end_time
367096360,31.0,Towing,1,1211.0,1211.0,2022-01-01 00:01:10,2022-01-01 23:59:19
367096510,31.0,Towing,1,1179.0,1179.0,2022-01-01 00:01:06,2022-01-01 23:59:17
367097570,60.0,Passenger,1,1205.0,1205.0,2022-01-01 00:01:00,2022-01-01 23:58:57
367097670,31.0,Towing,1,1193.0,1193.0,2022-01-01 00:01:08,2022-01-01 23:58:58
367097970,31.0,Towing,3,414.3333333333333,503.0,2022-01-01 00:00:04,2022-01-01 23:59:55
367098010,31.0,Towing,1,1219.0,1219.0,2022-01-01 00:00:11,2022-01-01 23:59:31
367098070,31.0,Towing,1,1224.0,1224.0,2022-01-01 00:00:02,2022-01-01 23:59:32
367098270,31.0,Towing,10,124.5,1.0,2022-01-01 00:00:05,2022-01-01 23:59:46
367098550,31.0,Towing,4,313.5,280.5,2022-01-01 00:00:08,2022-01-01 23:59:13
367098660,31.0,Towing,1,1206.0,1206.0,2022-01-01 00:00:00,2022-01-01 23:58:55
367098670,31.0,Towing,1,1157.0,1157.0,2022-01-01 00:00:54,2022-01-01 23:59:26
367100060,31.0,Towing,1,1253.0,1253.0,2022-01-01 00:00:01,2022-01-01 23:59:21
367100370,50.0,Other,166,7.578313253012048,1.0,2022-01-01 00:00:01,2022-01-01 23:59:32
367101920,60.0,Passenger,448,2.921875,1.0,2022-01-01 00:00:02,2022-01-01 23:58:57
367102000,80.0,Other,1189,1.0,1.0,2022-01-01 00:00:01,2022-01-01 23:59:15
367102030,31.0,Towing,8,151.0,32.5,2022-01-01 00:00:58,2022-01-01 23:59:19
367103180,31.0,Towing,1,1186.0,1186.0,2022-01-01 00:00:59,2022-01-01 23:59:09
367104040,60.0,Passenger,316,3.9525316455696204,1.0,2022-01-01 00:00:39,2022-01-01 23:59:46
367104050,60.0,Passenger,514,2.4863813229571985,1.0,2022-01-01 00:00:08,2022-01-01 23:59:41
367104060,60.0,Passenger,184,6.625,1.0,2022-01-01 00:00:05,2022-01-01 23:59:37
367104070,60.0,Passenger,274,4.572992700729927,1.0,2022-01-01 00:00:05,2022-01-01 23:59:26
367104480,31.0,Towing,1,1219.0,1219.0,2022-01-01 00:00:54,2022-01-01 23:59:25
367104530,31.0,Towing,1,1206.0,1206.0,2022-01-01 00:00:01,2022-01-01 23:59:37
367104560,31.0,Towing,1,1215.0,1215.0,2022-01-01 00:00:02,2022-01-01 23:59:40
367106130,31.0,Towing,1,1211.0,1211.0,2022-01-01 00:00:58,2022-01-01 23:59:57
367106750,31.0,Towing,1,1184.0,1184.0,2022-01-01 00:00:01,2022-01-01 23:59:51
367106880,60.0,Passenger,1,1218.0,1218.0,2022-01-01 00:00:53,2022-01-01 23:59:43
367107320,31.0,Towing,1,1184.0,1184.0,2022-01-01 00:00:02,2022-01-01 23:58:53
367108030,31.0,Towing,4,299.0,269.0,2022-01-01 00:01:07,2022-01-01 23:59:52
367108460,37.0,Other,1,1236.0,1236.0,2022-01-01 00:00:01,2022-01-01 23:59:04
367108560,30.0,Fishing,1,1235.0,1235.0,2022-01-01 00:00:02,2022-01-01 23:59:21
367108750,60.0,Passenger,45,27.11111111111111,1.0,2022-01-01 00:00:00,2022-01-01 23:59:10
367108820,30.0,Fishing,1,1139.0,1139.0,2022-01-01 00:00:24,2022-01-01 23:59:23
367109720,31.0,Towing,17,70.41176470588235,1.0,2022-01-01 00:01:05,2022-01-01 23:59:56
367109910,30.0,Fishing,1,1208.0,1208.0,2022-01-01 00:00:01,2022-01-01 23:58:42
367110280,31.0,Towing,1,1191.0,1191.0,2022-01-01 00:00:02,2022-01-01 23:59:32
367110550,60.0,Passenger,1,1222.0,1222.0,2022-01-01 00:00:02,2022-01-01 23:59:01
367111870,90.0,Other,1,1049.0,1049.0,2022-01-01 00:00:54,2022-01-01 23:59:44
367112570,31.0,Towing,1,1208.0,1208.0,2022-01-01 00:00:03,2022-01-01 23:59:25
367113150,31.0,Towing,1,1221.0,1221.0,2022-01-01 00:00:03,2022-01-01 23:59:32
367114050,31.0,Towing,1,1189.0,1189.0,2022-01-01 00:00:58,2022-01-01 23:59:47
367114880,31.0,Towing,1,1218.0,1218.0,2022-01-01 00:00:02,2022-01-01 23:59:42
367119980,30.0,Fishing,1,1246.0,1246.0,2022-01-01 00:00:06,2022-01-01 23:59:56
367120230,31.0,Towing,1,1248.0,1248.0,2022-01-01 00:00:01,2022-01-01 23:59:31
367120490,31.0,Towing,40,30.05,1.0,2022-01-01 00:01:06,2022-01-01 23:58:56
367120550,31.0,Towing,1,1244.0,1244.0,2022-01-01 00:00:01,2022-01-01 23:59:21
367120990,70.0,Cargo,871,1.4408725602755454,1.0,2022-01-01 00:00:05,2022-01-01 23:59:06
367121010,70.0,Cargo,829,1.5126658624849216,1.0,2022-01-01 00:00:05,2022-01-01 23:59:24
367121040,70.0,Cargo,44,28.227272727272727,1.0,2022-01-01 00:00:01,2022-01-01 23:59:51
367122220,31.0,Towing,10,124.9,1.0,2022-01-01 00:00:08,2022-01-01 23:59:36
367122290,31.0,Towing,1,1225.0,1225.0,2022-01-01 00:00:01,2022-01-01 23:58:51
